Hyb,Par1,Par2,valHyb,valPar1,valPar2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait
hyb22,LH123HT,LH82,215.6147,207.3683,126.0214,8.246,0.0398,89.593,0.0654,48.92,53.75,PHT
hyb23,LH123HT,MO17,244.4515,207.3683,179.5077,37.083,0.1788,64.944,0.2066,51.014,33.57,PHT
hyb24,LH123HT,PH207,231.536,207.3683,145.8865,24.168,0.1165,85.649,0.1657,54.909,48.49,PHT
hyb25,LH123HT,PHG35,250.7785,207.3683,173.1114,43.41,0.2093,77.667,0.2508,60.539,40.83,PHT
hyb26,LH123HT,PHG39,266.3883,207.3683,185.6378,59.02,0.2846,80.751,0.3179,69.885,41.09,PHT
hyb27,LH123HT,PHG47,239.5126,207.3683,124.1814,32.144,0.155,115.331,0.2588,73.738,69.57,PHT
hyb28,LH123HT,PHG84,245.3644,207.3683,169.6718,37.996,0.1832,75.693,0.2239,56.844,40.15,PHT
hyb29,LH123HT,PHJ40,214.5648,207.3683,128.6732,7.196,0.0347,85.892,0.0559,46.544,51.12,PHT
hyb30,LH123HT,PHZ51,253.4695,207.3683,193.5244,46.101,0.2223,59.945,0.2382,53.023,29.91,PHT
hyb31,LH82,MO17,200.4119,126.0214,179.5077,20.904,0.1165,74.391,0.1659,47.647,48.7,PHT
hyb32,LH82,PH207,187.1247,126.0214,145.8865,41.238,0.2827,61.103,0.3272,51.171,44.94,PHT
hyb33,LH82,PHG35,194.927,126.0214,173.1114,21.816,0.126,68.906,0.1731,45.361,46.07,PHT
hyb34,LH82,PHG39,210.6311,126.0214,185.6378,24.993,0.1346,84.61,0.1983,54.802,54.3,PHT
hyb35,LH82,PHG47,191.2944,126.0214,124.1814,65.273,0.518,67.113,0.5256,66.193,53.65,PHT
hyb36,LH82,PHG84,207.915,126.0214,169.6718,38.243,0.2254,81.894,0.3035,60.068,55.39,PHT
hyb37,LH82,PHJ40,187.13,126.0214,128.6732,58.457,0.4543,61.109,0.4639,59.783,47.99,PHT
hyb38,LH82,PHZ51,218.0147,126.0214,193.5244,24.49,0.1265,91.993,0.1943,58.242,57.58,PHT
hyb39,MO17,PH207,225.3563,179.5077,145.8865,45.849,0.2554,79.47,0.3143,62.659,48.85,PHT
hyb40,MO17,PHG35,228.2054,179.5077,173.1114,48.698,0.2713,55.094,0.2813,51.896,31.25,PHT
hyb41,MO17,PHG39,245.5067,179.5077,185.6378,59.869,0.3225,65.999,0.3335,62.934,36.15,PHT
hyb42,MO17,PHG47,220.0415,179.5077,124.1814,40.534,0.2258,95.86,0.3264,68.197,63.13,PHT
hyb43,MO17,PHG84,238.1156,179.5077,169.6718,58.608,0.3265,68.444,0.3454,63.526,39.2,PHT
hyb44,MO17,PHJ40,205.9815,179.5077,128.6732,26.474,0.1475,77.308,0.2057,51.891,50.17,PHT
hyb45,MO17,PHZ51,242.0576,179.5077,193.5244,48.533,0.2508,62.55,0.2704,55.542,33.54,PHT
hyb46,PH207,PHG35,211.8347,145.8865,173.1114,38.723,0.2237,65.948,0.2654,52.336,41.35,PHT
hyb47,PH207,PHG39,223.7419,145.8865,185.6378,38.104,0.2053,77.855,0.2612,57.98,46.97,PHT
hyb48,PH207,PHG47,208.4914,145.8865,124.1814,62.605,0.4291,84.31,0.5041,73.457,62.44,PHT
hyb49,PH207,PHG84,231.2658,145.8865,169.6718,61.594,0.363,85.379,0.4222,73.487,54.11,PHT
hyb50,PH207,PHJ40,206.1278,145.8865,128.6732,60.241,0.4129,77.455,0.4682,68.848,56.42,PHT
hyb51,PH207,PHZ51,238.7184,145.8865,193.5244,45.194,0.2335,92.832,0.3098,69.013,54.7,PHT
hyb52,PHG35,PHG39,232.874,173.1114,185.6378,47.236,0.2545,59.763,0.2729,53.499,33.32,PHT
hyb53,PHG35,PHG47,219.1222,173.1114,124.1814,46.011,0.2658,94.941,0.3705,70.476,63.87,PHT
hyb54,PHG35,PHG84,226.2314,173.1114,169.6718,53.12,0.3069,56.56,0.3131,54.84,33,PHT
hyb55,PHG35,PHJ40,205.4207,173.1114,128.6732,32.309,0.1866,76.748,0.2511,54.528,50.86,PHT
hyb56,PHG35,PHZ51,239.3704,173.1114,193.5244,45.846,0.2369,66.259,0.2648,56.052,36.14,PHT
hyb57,PHG39,PHG47,231.7418,185.6378,124.1814,46.104,0.2484,107.56,0.3713,76.832,69.43,PHT
hyb58,PHG39,PHG84,249.1196,185.6378,169.6718,63.482,0.342,79.448,0.3741,71.465,44.72,PHT
hyb59,PHG39,PHJ40,226.0233,185.6378,128.6732,40.386,0.2176,97.35,0.3139,68.868,61.95,PHT
hyb60,PHG39,PHZ51,264.4581,185.6378,193.5244,70.934,0.3665,78.82,0.3821,74.877,41.58,PHT
hyb61,PHG47,PHG84,228.2077,124.1814,169.6718,58.536,0.345,104.026,0.4714,81.281,70.8,PHT
hyb62,PHG47,PHJ40,206.3192,124.1814,128.6732,77.646,0.6034,82.138,0.6253,79.892,64.97,PHT
hyb63,PHG47,PHZ51,245.8937,124.1814,193.5244,52.369,0.2706,121.712,0.4217,87.041,76.62,PHT
hyb64,PHG84,PHJ40,215.2715,169.6718,128.6732,45.6,0.2688,86.598,0.3544,66.099,58.05,PHT
hyb65,PHG84,PHZ51,248.0132,169.6718,193.5244,54.489,0.2816,78.341,0.3211,66.415,43.14,PHT
hyb66,PHJ40,PHZ51,226.8325,128.6732,193.5244,33.308,0.1721,98.159,0.2589,65.734,60.93,PHT
hyb1,B73,LH1,99.38582,89.95925,58.20414,9.427,0.1048,41.182,0.162,25.304,55.59,EHT
hyb2,B73,LH123HT,133.41489,89.95925,94.09372,39.321,0.4179,43.456,0.4371,41.388,47.22,EHT
hyb3,B73,LH82,103.24762,89.95925,61.61994,13.288,0.1477,41.628,0.2156,27.458,54.93,EHT
hyb4,B73,MO17,123.79905,89.95925,84.70054,33.84,0.3762,39.099,0.3995,36.469,44.77,EHT
hyb5,B73,PH207,106.22624,89.95925,69.49742,16.267,0.1808,36.729,0.2341,26.498,46.07,EHT
hyb6,B73,PHG35,114.93428,89.95925,72.79777,24.975,0.2776,42.137,0.3431,33.556,51.78,EHT
hyb7,B73,PHG39,116.71961,89.95925,86.35156,26.76,0.2975,30.368,0.3099,28.564,34.45,EHT
hyb8,B73,PHG47,106.02908,89.95925,47.1654,16.07,0.1786,58.864,0.3407,37.467,85.85,EHT
hyb9,B73,PHG84,119.33822,89.95925,73.26637,29.379,0.3266,46.072,0.401,37.725,56.45,EHT
hyb10,B73,PHJ40,105.44562,89.95925,61.94052,15.486,0.1721,43.505,0.25,29.496,57.28,EHT
hyb11,B73,PHZ51,128.31631,89.95925,87.07505,38.357,0.4264,41.241,0.4405,39.799,46.59,EHT
hyb12,LH1,LH123HT,102.54336,58.20414,94.09372,8.45,0.0898,44.339,0.1452,26.394,58.23,EHT
hyb13,LH1,LH82,79.75268,58.20414,61.61994,18.133,0.2943,21.549,0.3115,19.841,35.97,EHT
hyb14,LH1,MO17,105.96503,58.20414,84.70054,21.264,0.251,47.761,0.3653,34.513,66.84,EHT
hyb15,LH1,PH207,79.87785,58.20414,69.49742,10.38,0.1494,21.674,0.1783,16.027,33.94,EHT
hyb16,LH1,PHG35,90.8403,58.20414,72.79777,18.043,0.2479,32.636,0.31,25.339,49.83,EHT
hyb17,LH1,PHG39,96.28076,58.20414,86.35156,9.929,0.115,38.077,0.1706,24.003,52.68,EHT
hyb18,LH1,PHG47,86.11509,58.20414,47.1654,27.911,0.4795,38.95,0.5918,33.43,73.93,EHT
hyb19,LH1,PHG84,91.67348,58.20414,73.26637,18.407,0.2512,33.469,0.3162,25.938,50.91,EHT
hyb20,LH1,PHJ40,87.53361,58.20414,61.94052,25.593,0.4132,29.329,0.4397,27.461,48.82,EHT
hyb21,LH1,PHZ51,113.21087,58.20414,87.07505,26.136,0.3002,55.007,0.449,40.571,75.73,EHT
hyb22,LH123HT,LH82,99.51224,94.09372,61.61994,5.419,0.0576,37.892,0.0879,21.655,48.67,EHT
hyb23,LH123HT,MO17,120.84625,94.09372,84.70054,26.753,0.2843,36.146,0.3159,31.449,40.43,EHT
hyb24,LH123HT,PH207,105.49907,94.09372,69.49742,11.405,0.1212,36.002,0.1641,23.704,44.01,EHT
hyb25,LH123HT,PHG35,118.92736,94.09372,72.79777,24.834,0.2639,46.13,0.3411,35.482,55.28,EHT
hyb26,LH123HT,PHG39,126.05607,94.09372,86.35156,31.962,0.3397,39.705,0.3701,35.833,44.01,EHT
hyb27,LH123HT,PHG47,112.20038,94.09372,47.1654,18.107,0.1924,65.035,0.3839,41.571,92.08,EHT
hyb28,LH123HT,PHG84,113.91505,94.09372,73.26637,19.821,0.2107,40.649,0.2705,30.235,48.58,EHT
hyb29,LH123HT,PHJ40,104.6269,94.09372,61.94052,10.533,0.1119,42.686,0.1701,26.61,54.71,EHT
hyb30,LH123HT,PHZ51,127.32111,94.09372,87.07505,33.227,0.3531,40.246,0.3816,36.737,44.43,EHT
hyb31,LH82,MO17,100.86854,61.61994,84.70054,16.168,0.1909,39.249,0.2624,27.708,53.65,EHT
hyb32,LH82,PH207,86.39711,61.61994,69.49742,16.9,0.2432,24.777,0.2743,20.838,37.79,EHT
hyb33,LH82,PHG35,88.04151,61.61994,72.79777,15.244,0.2094,26.422,0.2474,20.833,39.31,EHT
hyb34,LH82,PHG39,95.6388,61.61994,86.35156,9.287,0.1075,34.019,0.1507,21.653,45.98,EHT
hyb35,LH82,PHG47,85.30002,61.61994,47.1654,23.68,0.3843,38.135,0.5021,30.907,70.11,EHT
hyb36,LH82,PHG84,98.20472,61.61994,73.26637,24.938,0.3404,36.585,0.4047,30.762,54.25,EHT
hyb37,LH82,PHJ40,90.6813,61.61994,61.94052,28.741,0.464,29.061,0.4664,28.901,47.04,EHT
hyb38,LH82,PHZ51,107.53049,61.61994,87.07505,20.455,0.2349,45.911,0.332,33.183,61.75,EHT
hyb39,MO17,PH207,112.34422,84.70054,69.49742,27.644,0.3264,42.847,0.3978,35.245,55.57,EHT
hyb40,MO17,PHG35,114.29615,84.70054,72.79777,29.596,0.3494,41.498,0.4066,35.547,52.7,EHT
hyb41,MO17,PHG39,116.35052,84.70054,86.35156,29.999,0.3474,31.65,0.3542,30.824,37.01,EHT
hyb42,MO17,PHG47,102.28878,84.70054,47.1654,17.588,0.2076,55.123,0.3729,36.356,83.6,EHT
hyb43,MO17,PHG84,115.8804,84.70054,73.26637,31.18,0.3681,42.614,0.4256,36.897,53.95,EHT
hyb44,MO17,PHJ40,109.99301,84.70054,61.94052,25.292,0.2986,48.052,0.4083,36.672,65.54,EHT
hyb45,MO17,PHZ51,115.68933,84.70054,87.07505,28.614,0.3286,30.989,0.3378,29.802,36.08,EHT
hyb46,PH207,PHG35,97.64575,69.49742,72.79777,24.848,0.3413,28.148,0.3575,26.498,39.56,EHT
hyb47,PH207,PHG39,101.07671,69.49742,86.35156,14.725,0.1705,31.579,0.2119,23.152,40.53,EHT
hyb48,PH207,PHG47,94.47205,69.49742,47.1654,24.975,0.3594,47.307,0.5295,36.141,81.1,EHT
hyb49,PH207,PHG84,100.8473,69.49742,73.26637,27.581,0.3764,31.35,0.3969,29.465,43.92,EHT
hyb50,PH207,PHJ40,103.04142,69.49742,61.94052,33.544,0.4827,41.101,0.5416,37.322,62.54,EHT
hyb51,PH207,PHZ51,109.8158,69.49742,87.07505,22.741,0.2612,40.318,0.3272,31.53,51.5,EHT
hyb52,PHG35,PHG39,110.61519,72.79777,86.35156,24.264,0.281,37.817,0.3333,31.041,47.52,EHT
hyb53,PHG35,PHG47,100.19695,72.79777,47.1654,27.399,0.3764,53.032,0.5809,40.215,88.41,EHT
hyb54,PHG35,PHG84,102.86121,72.79777,73.26637,29.595,0.4039,30.063,0.4065,29.829,41.16,EHT
hyb55,PHG35,PHJ40,102.93351,72.79777,61.94052,30.136,0.414,40.993,0.4865,35.564,60.85,EHT
hyb56,PHG35,PHZ51,109.47304,72.79777,87.07505,22.398,0.2572,36.675,0.3077,29.537,45.88,EHT
hyb57,PHG39,PHG47,106.04457,86.35156,47.1654,19.693,0.2281,58.879,0.4175,39.286,88.2,EHT
hyb58,PHG39,PHG84,115.65457,86.35156,73.26637,29.303,0.3393,42.388,0.4,35.846,53.11,EHT
hyb59,PHG39,PHJ40,110.58882,86.35156,61.94052,24.237,0.2807,48.648,0.3913,36.443,65.61,EHT
hyb60,PHG39,PHZ51,128.13738,86.35156,87.07505,41.062,0.4716,41.786,0.4755,41.424,48.19,EHT
hyb61,PHG47,PHG84,102.35248,47.1654,73.26637,29.086,0.397,55.187,0.6167,42.137,91.65,EHT
hyb62,PHG47,PHJ40,96.92766,47.1654,61.94052,34.987,0.5648,49.762,0.7418,42.375,91.22,EHT
hyb63,PHG47,PHZ51,110.79437,47.1654,87.07505,23.719,0.2724,63.629,0.5029,43.674,94.8,EHT
hyb64,PHG84,PHJ40,97.65202,73.26637,61.94052,24.386,0.3328,35.711,0.3937,30.049,52.82,EHT
hyb65,PHG84,PHZ51,114.21272,73.26637,87.07505,27.138,0.3117,40.946,0.3704,34.042,51.07,EHT
hyb66,PHJ40,PHZ51,108.35159,61.94052,87.07505,21.277,0.2444,46.411,0.3435,33.844,62.29,EHT
hyb1,B73,LH1,66.51451,69.80693,75.04975,-8.535,-0.1137,-3.292,-0.1223,-5.914,4.55,DTS
hyb2,B73,LH123HT,66.22823,69.80693,72.19319,-5.965,-0.0826,-3.579,-0.0854,-4.772,5.04,DTS
hyb3,B73,LH82,63.07385,69.80693,63.69449,-6.733,-0.0965,-0.621,-0.1057,-3.677,0.93,DTS
hyb4,B73,MO17,65.91955,69.80693,71.635,-5.715,-0.0798,-3.887,-0.0819,-4.801,5.5,DTS
hyb5,B73,PH207,62.53298,69.80693,64.90511,-7.274,-0.1042,-2.372,-0.1121,-4.823,3.52,DTS
hyb6,B73,PHG35,63.75659,69.80693,64.36753,-6.05,-0.0867,-0.611,-0.094,-3.331,0.91,DTS
hyb7,B73,PHG39,66.25819,69.80693,74.19055,-7.932,-0.1069,-3.549,-0.1136,-5.741,4.93,DTS
hyb8,B73,PHG47,62.72025,69.80693,66.98388,-7.087,-0.1015,-4.264,-0.1058,-5.675,6.23,DTS
hyb9,B73,PHG84,67.63068,69.80693,75.66274,-8.032,-0.1062,-2.176,-0.1151,-5.104,2.99,DTS
hyb10,B73,PHJ40,61.51185,69.80693,59.95605,-8.295,-0.1188,1.556,-0.1384,-3.37,2.4,DTS
hyb11,B73,PHZ51,65.06434,69.80693,71.07947,-6.015,-0.0846,-4.743,-0.0862,-5.379,6.73,DTS
hyb12,LH1,LH123HT,67.25436,75.04975,72.19319,-7.795,-0.1039,-4.939,-0.108,-6.367,6.71,DTS
hyb13,LH1,LH82,64.29814,75.04975,63.69449,-10.752,-0.1433,0.604,-0.1688,-5.074,0.87,DTS
hyb14,LH1,MO17,67.49476,75.04975,71.635,-7.555,-0.1007,-4.14,-0.1055,-5.848,5.64,DTS
hyb15,LH1,PH207,64.90038,75.04975,64.90511,-10.149,-0.1352,-0.005,-0.1564,-5.077,0.01,DTS
hyb16,LH1,PHG35,65.09315,75.04975,64.36753,-9.957,-0.1327,0.726,-0.1547,-4.615,1.04,DTS
hyb17,LH1,PHG39,67.62039,75.04975,74.19055,-7.429,-0.099,-6.57,-0.1001,-7,8.8,DTS
hyb18,LH1,PHG47,64.8396,75.04975,66.98388,-10.21,-0.136,-2.144,-0.1524,-6.177,3.02,DTS
hyb19,LH1,PHG84,68.49322,75.04975,75.66274,-7.17,-0.0948,-6.557,-0.0955,-6.863,8.7,DTS
hyb20,LH1,PHJ40,62.89438,75.04975,59.95605,-12.155,-0.162,2.938,-0.2027,-4.609,4.35,DTS
hyb21,LH1,PHZ51,66.24173,75.04975,71.07947,-8.808,-0.1174,-4.838,-0.1239,-6.823,6.62,DTS
hyb22,LH123HT,LH82,63.18114,72.19319,63.69449,-9.012,-0.1248,-0.513,-0.1415,-4.763,0.76,DTS
hyb23,LH123HT,MO17,67.09144,72.19319,71.635,-5.102,-0.0707,-4.544,-0.0712,-4.823,6.32,DTS
hyb24,LH123HT,PH207,63.3457,72.19319,64.90511,-8.847,-0.1225,-1.559,-0.1363,-5.203,2.27,DTS
hyb25,LH123HT,PHG35,64.80067,72.19319,64.36753,-7.393,-0.1024,0.433,-0.1149,-3.48,0.63,DTS
hyb26,LH123HT,PHG39,66.94736,72.19319,74.19055,-7.243,-0.0976,-5.246,-0.1003,-6.245,7.17,DTS
hyb27,LH123HT,PHG47,65.44625,72.19319,66.98388,-6.747,-0.0935,-1.538,-0.1007,-4.142,2.21,DTS
hyb28,LH123HT,PHG84,68.1764,72.19319,75.66274,-7.486,-0.0989,-4.017,-0.1037,-5.752,5.43,DTS
hyb29,LH123HT,PHJ40,61.30368,72.19319,59.95605,-10.89,-0.1508,1.348,-0.1816,-4.771,2.04,DTS
hyb30,LH123HT,PHZ51,65.52843,72.19319,71.07947,-6.665,-0.0923,-5.551,-0.0938,-6.108,7.75,DTS
hyb31,LH82,MO17,63.30482,63.69449,71.635,-8.33,-0.1163,-0.39,-0.1308,-4.36,0.58,DTS
hyb32,LH82,PH207,60.57567,63.69449,64.90511,-4.329,-0.0667,-3.119,-0.068,-3.724,4.85,DTS
hyb33,LH82,PHG35,60.63623,63.69449,64.36753,-3.731,-0.058,-3.058,-0.0586,-3.395,4.78,DTS
hyb34,LH82,PHG39,64.14055,63.69449,74.19055,-10.05,-0.1355,0.446,-0.1578,-4.802,0.65,DTS
hyb35,LH82,PHG47,61.0276,63.69449,66.98388,-5.956,-0.0889,-2.667,-0.0935,-4.312,4.08,DTS
hyb36,LH82,PHG84,64.55413,63.69449,75.66274,-11.109,-0.1468,0.86,-0.1744,-5.124,1.23,DTS
hyb37,LH82,PHJ40,58.43232,63.69449,59.95605,-5.262,-0.0826,-1.524,-0.0878,-3.393,2.47,DTS
hyb38,LH82,PHZ51,62.84566,63.69449,71.07947,-8.234,-0.1158,-0.849,-0.1293,-4.541,1.26,DTS
hyb39,MO17,PH207,64.03648,71.635,64.90511,-7.599,-0.1061,-0.869,-0.1171,-4.234,1.27,DTS
hyb40,MO17,PHG35,64.12237,71.635,64.36753,-7.513,-0.1049,-0.245,-0.1167,-3.879,0.36,DTS
hyb41,MO17,PHG39,66.26218,71.635,74.19055,-7.928,-0.1069,-5.373,-0.1107,-6.651,7.37,DTS
hyb42,MO17,PHG47,64.26893,71.635,66.98388,-7.366,-0.1028,-2.715,-0.11,-5.041,3.92,DTS
hyb43,MO17,PHG84,67.48168,71.635,75.66274,-8.181,-0.1081,-4.153,-0.1142,-6.167,5.64,DTS
hyb44,MO17,PHJ40,61.70669,71.635,59.95605,-9.928,-0.1386,1.751,-0.1656,-4.089,2.66,DTS
hyb45,MO17,PHZ51,65.40979,71.635,71.07947,-6.225,-0.0869,-5.67,-0.0876,-5.947,7.95,DTS
hyb46,PH207,PHG35,62.13812,64.90511,64.36753,-2.767,-0.0426,-2.229,-0.043,-2.498,3.45,DTS
hyb47,PH207,PHG39,64.41841,64.90511,74.19055,-9.772,-0.1317,-0.487,-0.1506,-5.129,0.7,DTS
hyb48,PH207,PHG47,60.61684,64.90511,66.98388,-6.367,-0.0951,-4.288,-0.0981,-5.328,6.5,DTS
hyb49,PH207,PHG84,65.42382,64.90511,75.66274,-10.239,-0.1353,0.519,-0.1578,-4.86,0.74,DTS
hyb50,PH207,PHJ40,57.90867,64.90511,59.95605,-6.996,-0.1078,-2.047,-0.1167,-4.522,3.28,DTS
hyb51,PH207,PHZ51,63.59014,64.90511,71.07947,-7.489,-0.1054,-1.315,-0.1154,-4.402,1.93,DTS
hyb52,PHG35,PHG39,64.49338,64.36753,74.19055,-9.697,-0.1307,0.126,-0.1507,-4.786,0.18,DTS
hyb53,PHG35,PHG47,63.05588,64.36753,66.98388,-3.928,-0.0586,-1.312,-0.061,-2.62,2,DTS
hyb54,PHG35,PHG84,66.78668,64.36753,75.66274,-8.876,-0.1173,2.419,-0.1379,-3.228,3.45,DTS
hyb55,PHG35,PHJ40,59.23456,64.36753,59.95605,-5.133,-0.0797,-0.721,-0.0856,-2.927,1.16,DTS
hyb56,PHG35,PHZ51,63.23002,64.36753,71.07947,-7.849,-0.1104,-1.138,-0.1219,-4.493,1.68,DTS
hyb57,PHG39,PHG47,63.70838,74.19055,66.98388,-10.482,-0.1413,-3.276,-0.1565,-6.879,4.64,DTS
hyb58,PHG39,PHG84,67.64274,74.19055,75.66274,-8.02,-0.106,-6.548,-0.1081,-7.284,8.74,DTS
hyb59,PHG39,PHJ40,61.55774,74.19055,59.95605,-12.633,-0.1703,1.602,-0.2107,-5.516,2.39,DTS
hyb60,PHG39,PHZ51,65.98405,74.19055,71.07947,-8.207,-0.1106,-5.095,-0.1155,-6.651,7.01,DTS
hyb61,PHG47,PHG84,65.42143,66.98388,75.66274,-10.241,-0.1354,-1.562,-0.1529,-5.902,2.19,DTS
hyb62,PHG47,PHJ40,58.86316,66.98388,59.95605,-8.121,-0.1212,-1.093,-0.1354,-4.607,1.72,DTS
hyb63,PHG47,PHZ51,63.57649,66.98388,71.07947,-7.503,-0.1056,-3.407,-0.112,-5.455,4.94,DTS
hyb64,PHG84,PHJ40,62.88266,75.66274,59.95605,-12.78,-0.1689,2.927,-0.2132,-4.927,4.32,DTS
hyb65,PHG84,PHZ51,68.21403,75.66274,71.07947,-7.449,-0.0985,-2.865,-0.1048,-5.157,3.9,DTS
hyb66,PHJ40,PHZ51,60.851,59.95605,71.07947,-10.228,-0.1439,0.895,-0.1706,-4.667,1.37,DTS
hyb1,B73,LH1,64.68103,67.83573,70.42336,-5.742,-0.0815,-3.155,-0.0846,-4.449,4.56,DTP
hyb2,B73,LH123HT,65.38923,67.83573,71.32848,-5.939,-0.0833,-2.447,-0.0875,-4.193,3.52,DTP
hyb3,B73,LH82,61.90854,67.83573,63.09842,-5.927,-0.0874,-1.19,-0.0939,-3.559,1.82,DTP
hyb4,B73,MO17,64.36143,67.83573,67.52625,-3.474,-0.0512,-3.165,-0.0514,-3.32,4.68,DTP
hyb5,B73,PH207,61.41551,67.83573,62.16229,-6.42,-0.0946,-0.747,-0.1033,-3.584,1.15,DTP
hyb6,B73,PHG35,62.70966,67.83573,63.27745,-5.126,-0.0756,-0.568,-0.081,-2.847,0.87,DTP
hyb7,B73,PHG39,65.38606,67.83573,71.30403,-5.918,-0.083,-2.45,-0.0872,-4.184,3.52,DTP
hyb8,B73,PHG47,62.18909,67.83573,65.39284,-5.647,-0.0832,-3.204,-0.0864,-4.425,4.81,DTP
hyb9,B73,PHG84,66.48603,67.83573,72.20631,-5.72,-0.0792,-1.35,-0.0843,-3.535,1.93,DTP
hyb10,B73,PHJ40,60.0626,67.83573,58.52625,-7.773,-0.1146,1.536,-0.1328,-3.118,2.43,DTP
hyb11,B73,PHZ51,63.81196,67.83573,68.69088,-4.879,-0.071,-4.024,-0.0719,-4.451,5.89,DTP
hyb12,LH1,LH123HT,65.97213,70.42336,71.32848,-5.356,-0.0751,-4.451,-0.0761,-4.904,6.28,DTP
hyb13,LH1,LH82,63.38706,70.42336,63.09842,-7.036,-0.0999,0.289,-0.1115,-3.374,0.43,DTP
hyb14,LH1,MO17,64.94277,70.42336,67.52625,-5.481,-0.0778,-2.583,-0.0812,-4.032,3.74,DTP
hyb15,LH1,PH207,62.39407,70.42336,62.16229,-8.029,-0.114,0.232,-0.1292,-3.899,0.35,DTP
hyb16,LH1,PHG35,64.10872,70.42336,63.27745,-6.315,-0.0897,0.831,-0.0998,-2.742,1.24,DTP
hyb17,LH1,PHG39,66.79623,70.42336,71.30403,-4.508,-0.0632,-3.627,-0.064,-4.067,5.12,DTP
hyb18,LH1,PHG47,63.45256,70.42336,65.39284,-6.971,-0.099,-1.94,-0.1066,-4.456,2.86,DTP
hyb19,LH1,PHG84,66.85437,70.42336,72.20631,-5.352,-0.0741,-3.569,-0.076,-4.46,5,DTP
hyb20,LH1,PHJ40,61.83548,70.42336,58.52625,-8.588,-0.1219,3.309,-0.1467,-2.639,5.13,DTP
hyb21,LH1,PHZ51,65.85815,70.42336,68.69088,-4.565,-0.0648,-2.833,-0.0665,-3.699,4.07,DTP
hyb22,LH123HT,LH82,62.95987,71.32848,63.09842,-8.369,-0.1173,-0.139,-0.1326,-4.254,0.21,DTP
hyb23,LH123HT,MO17,66.03211,71.32848,67.52625,-5.296,-0.0742,-1.494,-0.0784,-3.395,2.15,DTP
hyb24,LH123HT,PH207,61.89375,71.32848,62.16229,-9.435,-0.1323,-0.269,-0.1518,-4.852,0.4,DTP
hyb25,LH123HT,PHG35,64.84573,71.32848,63.27745,-6.483,-0.0909,1.568,-0.1025,-2.457,2.33,DTP
hyb26,LH123HT,PHG39,66.25647,71.32848,71.30403,-5.072,-0.0711,-5.048,-0.0711,-5.06,7.08,DTP
hyb27,LH123HT,PHG47,65.47898,71.32848,65.39284,-5.849,-0.082,0.086,-0.0894,-2.882,0.13,DTP
hyb28,LH123HT,PHG84,66.89791,71.32848,72.20631,-5.308,-0.0735,-4.431,-0.0744,-4.869,6.17,DTP
