GERP2,meandaf
-1.08,0.368606551475882
0.03,0.237652281746032
1.55,0.0976460087000735
-1.05,0.422200460829493
0.43,0.236435117173837
0.4,0.505883307440014
-1.26,0.403395945517897
0.16,0.594031576503367
0.38,0.272173523043613
0.37,0.288522150537634
-0.1,0.449550404244568
-0.66,0.436278085157566
1.11,0.138112963832785
1.6,0.141377921432123
0.55,0.199992357769601
0.78,0.198748689906585
0.93,0.229295794176552
-0.01,0.231351565074135
-0.82,0.456362786489747
-1.74,0.475019744058501
-1.66,0.465579767947788
-0.06,0.290642635177129
-1.31,0.454316041725402
-1.68,0.471411697247706
-1.27,0.42990264255911
-1.6,0.375616680032077
-1.92,0.41649114331723
-1.28,0.399663112522686
-1.54,0.395491556366956
-0.36,0.384023040752351
-1.97,0.394448646125117
-0.2,0.257984610452068
-1.95,0.483746245306633
-0.16,0.400919374009509
3.4,0.206246153846154
-1.49,0.388902973395931
-1.89,0.44024405218726
-0.31,0.365802599512591
0.88,0.133016151460049
-1.91,0.429609107037256
-0.39,0.35311937788987
0.94,0.176753768844221
-1.47,0.389663116591928
-0.12,0.313988562649368
-0.97,0.394736464968153
-1,0.411092020373514
-0.26,0.305461596009975
0.85,0.138238823190078
-0.6,0.401475183823529
-0.76,0.305710484637314
-1.59,0.426262209767814
-1.43,0.408401585820895
-0.71,0.364042058165548
-0.42,0.345407038512616
0.64,0.15359187684245
-0.56,0.314922872340426
-0.64,0.446039914031317
-1.11,0.363044318181818
-1.01,0.368094746295465
1.39,0.145491650485437
-0.45,0.330568758815233
-1.3,0.318227899432279
-3.39,0.527219887663824
0.29,0.578504834123223
0.6,0.198893568147014
-1.55,0.428122947368421
-1.16,0.404403005464481
-0.69,0.348430847673677
0.59,0.19651570067177
-0.57,0.310343758498776
-0.03,0.51252302259887
-2.26,0.428092146987502
2.37,0.101379262831554
-5.21,0.534949512091642
1.23,0.155008390770153
3.45,0.112067134268537
2.17,0.161196145124717
3.32,0.184736059479554
3.51,0.170253856942497
1.63,0.205798816568047
-7.4,0.5975
1.47,0.132460584588131
1.58,0.102022713130056
-2.9,0.492492836676218
1.73,0.207429802955665
-1.88,0.390307584269663
-3.2,0.452984682713348
0.71,0.25094676180022
0.82,0.134538894095595
-3.35,0.436987987987988
-0.59,0.348312615955473
-4.39,0.42244094488189
-0.58,0.339333928571429
2.41,0.172227272727273
-0.53,0.405806411323897
-1.03,0.335320734341253
-1.34,0.358881903906601
-5.95,0.437590163934426
0.07,0.219767802644964
-2.37,0.449844884488449
2.27,0.147373690337602
2.53,0.194746500777605
2.47,0.211811934900543
2.56,0.137532062391681
2.5,0.137557392102847
0.44,0.284311855021394
-6.82,0.4815
5.1,0.0467674722403658
2.77,0.272137566137566
-7.21,0.398529411764706
-0.63,0.469933472553699
-0.99,0.408785927029039
2.4,0.199948763250883
1.06,0.331536451853695
3.35,0.116266666666667
-2.2,0.430785290628707
3.13,0.257006825938567
-0.14,0.396450330195307
-8.15,0.582384615384615
3.57,0.343337730870712
-9.05,0.559272727272727
2.99,0.174600732600733
-8.68,0.500476190476191
1.4,0.140532431356944
1.29,0.148409068982151
-0.86,0.391991201055873
-0.51,0.400324025974026
-3.07,0.485327795084804
-3.21,0.506287462686567
1.38,0.137344410876133
-2.35,0.416278631738472
-1.09,0.390978983382209
-1.71,0.394248516809492
-1.72,0.449820983995258
0.77,0.166136845486669
-0.4,0.42475004618511
-1.93,0.451664750110571
0.72,0.165626028649802
-1.73,0.436268656716418
-0.07,0.403965402658327
1.24,0.114832191780822
-0.27,0.380175912254799
-0.21,0.265262907823883
-6.57,0.426566666666667
2.64,0.15109156626506
0.32,0.145905068175971
-4.02,0.406657276995305
-0.04,0.34604834663626
4.09,0.0661496688741722
3.98,0.0823394160583942
1.59,0.0988484539585457
-4.11,0.506781481481481
1,0.159773769259677
2.69,0.178168674698795
2.45,0.414475760065735
-3.28,0.459008960573477
3.73,0.125321656050955
1.28,0.26206555723651
-1.36,0.419673399520712
1.02,0.131316804407713
-1.44,0.390744036697248
2.16,0.147822361546499
0.48,0.198217228915663
0.69,0.191339616252822
-0.3,0.366280821917808
4.64,0.0541421686746988
4.88,0.0572185628742515
5,0.0547467532467532
2.81,0.204955882352941
3.89,0.166510273972603
1.8,0.181021172638436
-7.38,0.496162790697674
4.86,0.142871428571429
4.78,0.122235294117647
3.18,0.195174285714286
-1.81,0.456617546264565
-3.03,0.407734299516908
-2.66,0.490694675052411
0.22,0.21213937996413
-1.07,0.376696860986547
-2.06,0.461882560187904
-2.24,0.440874343048256
0.27,0.304502436383324
-0.96,0.460314594594595
-1.22,0.417244364937388
-0.84,0.367126326600479
0.08,0.208412653688525
0.19,0.209579672695952
-1.23,0.447186435868331
-1.61,0.420540540540541
1.36,0.158441897868918
-0.22,0.349978437812366
4,0.132565597667638
-5.18,0.510019801980198
-8.46,0.339057142857143
4.23,0.157516666666667
3.34,0.125940617577197
3.12,0.231702205882353
4.44,0.157197530864198
-0.73,0.380096548274137
1.52,0.20998849797023
