dafbin3,vargerp
0.352,0.771589472082319
0.122,0.820245356773225
0.118,0.839535473377082
0.412,1.09699236429228
0.166,0.870360953166129
0.107,0.78135273293582
0.469,1.10330983110937
0.443,0.81929243149995
0.231,0.790996109554531
0.251,0.816725966204887
0.248,0.844450075643789
0.074,0.862280464857838
0.221,0.845700165952579
0.297,0.807875714084376
0.223,0.679640649132867
0.309,0.794077937601411
0.276,1.03176522082131
0.26,0.748896071331377
0.284,0.883809508807713
0.208,0.897286446138232
0.304,0.807950730303881
0.318,0.644668035932396
0.319,0.808207602276125
0.085,0.827006234664562
0.359,0.82128113209286
0.03,0.926447991860529
0.388,0.838087377536856
0.245,0.848983894226687
0.088,0.836701025674977
0.037,0.864816870467764
0.115,0.872395100178604
0.228,0.754890600480397
0.054,0.785673172765837
0.313,0.677098074948374
0.311,0.77377279398736
0.05,0.903694360637707
0.397,0.824921492192973
0.424,0.8096966128681
0.032,0.883950099936731
0.458,0.754153912932653
0.372,0.737241351958235
0.335,0.861029169340379
0.279,0.765554208055304
0.31,0.844868807158969
0.308,0.849593358319458
0.315,0.622502009919246
0.237,0.82364598687452
0.282,0.954148474939069
0.079,0.86058860074673
0.25,0.710995277506834
0.241,0.934045305586728
0.354,0.85482083734347
0.324,0.755533720098517
0.105,0.844298207467935
0.292,0.798240574585832
0.437,0.803431818369306
0.24,0.746192497866166
0.347,0.96149158577349
0.368,0.757584234323167
0.306,0.732142278397365
0.224,1.03934170549321
0.344,1.02129574716945
0.094,0.945905731613094
0.322,0.816247977821966
0.099,0.826161942116147
0.232,0.853191160407993
0.312,0.8520309937957
0.092,0.833557040888584
0.357,0.760984663783621
0.089,0.801129169226278
0.222,0.692081638490714
0.299,0.700445790675153
0.068,0.921222896212232
0.378,0.939084295181028
0.336,0.666531748813093
0.061,0.822977563829709
0.334,0.89719403956095
0.058,0.886818099909403
0.242,0.898996912947362
0.081,0.978475953030043
0.348,0.754668806475365
0.289,0.792585094047988
0.274,0.923179425600607
0.302,0.863650490019208
0.496,1.11410577271705
0.167,0.792140817002449
0.403,0.796133451483763
0.187,0.785738785389063
0.373,0.910557700851581
0.395,0.841886619152829
0.04,0.862788391015166
0.22,0.844894173099363
0.111,0.830227519790647
0.255,0.773197609749974
0.083,0.945947261781996
0.192,0.918840357835274
0.052,0.875450279376149
0.163,0.834248340579807
0.287,0.687803778638331
0.209,0.842432928835558
0.247,0.685944238331533
0.073,0.926737570121845
0.464,1.45554938466706
0.047,0.816030129363495
0.108,0.900467689677774
0.217,0.734215213000462
0.194,0.815150923144733
0.056,0.906363304830746
0.17,0.857378758774757
0.173,0.781366630453535
0.236,0.939898596255735
0.124,0.826714434259183
0.281,0.875468419585584
0.414,0.805784822892807
0.046,0.856491771776322
0.19,0.78611543206705
0.153,0.869609925877771
0.048,0.812292017061059
0.177,0.78237223031828
0.029,0.868088824989194
0.375,0.844148307884501
0.132,0.770912949288554
0.155,0.870219354483859
0.199,0.824467611434622
0.203,0.854390860918637
0.13,0.850734526662163
0.156,0.802981560865695
0.136,0.760948410459538
0.066,0.828014069047919
0.262,0.871381580239563
0.198,0.911823983671479
0.316,0.919469400808576
0.396,0.919043211310126
0.14,0.7773199215898
0.394,1.15565823556878
0.399,1.1106454013985
0.131,0.831887599220957
0.386,1.0691054306348
0.135,0.852983703157158
0.46,0.712132877157212
0.137,0.810386340502678
0.053,0.840099676445669
0.12,0.84594605603201
0.129,0.880071501310006
0.371,0.717447760276948
0.366,0.836563865223235
0.307,1.04354594916973
0.409,0.812899449814202
0.055,0.850661593590633
0.049,0.905082561451017
0.441,0.901771280149367
0.264,0.794224332268123
0.481,0.768226130675145
0.102,0.876337521958569
0.349,0.619963517350076
0.086,0.851589510359324
0.204,0.850669031204282
0.259,0.940947180304721
0.317,0.856778774927757
0.211,0.79082131438719
0.277,0.872615834521789
0.445,1.16507766315197
0.238,0.793996782242253
0.261,0.739716321045345
0.263,0.767212807478696
0.243,0.899321278209255
0.267,0.908052943950394
0.233,0.791822026098297
0.258,0.879791288439251
0.265,0.955316048951103
0.087,0.873544466281109
0.272,0.959070815823294
0.257,0.855891410370672
0.09,0.857128701714151
0.214,0.899822556294506
0.2,0.761436169882726
0.207,0.869970551440037
0.176,0.885677899405947
0.197,0.909260790597374
0.185,0.881992648594104
0.462,0.898202128714265
0.456,1.11377228545362
0.498,0.923599849491544
0.117,0.887732342110756
0.116,0.816066708237477
0.234,0.76133224368524
0.146,0.727048002383073
0.127,0.82068592361792
0.303,0.82151215145092
0.096,0.862536119141461
0.15,0.911104281346381
0.171,0.886409576443082
0.139,0.840345673331408
0.164,0.917970397328032
0.113,0.894840517538444
0.425,0.746219845485824
0.499,0.79925898829302
0.483,0.937225722191696
0.465,0.869261560696568
0.142,0.727254487259724
0.101,0.844081833938897
0.467,0.97172612861411
0,2.12270160769858
0.321,0.815892193431223
0.28,0.974357763384791
0.401,0.888945445393743
0.109,0.853640576146689
0.125,0.848330834585746
0.103,0.785818740485834
0.305,0.764195678138409
0.273,0.82907054107231
0.134,0.770191033918767
0.095,0.79925117339955
0.301,0.721243204817687
0.42,0.911870946677927
0.35,0.738217541967094
0.413,1.09776749953005
0.253,0.669390668720844
0.189,0.95860597840127
0.141,0.891861601461178
0.106,0.746057658332626
0.098,0.900553597687722
0.178,0.838812583416273
0.23,0.778655015832043
0.165,0.918137519830225
0.468,1.02418755675201
0.376,0.80630654464011
0.035,0.908256185764987
0.244,0.923179263946787
0.407,0.92447398097712
0.151,0.712211525846063
0.478,1.04353603172567
0.429,0.837121788749079
0.339,0.81781390706085
0.367,0.809772479299734
0.215,0.833324878294046
0.398,0.785723816548135
0.41,0.904291275028857
0.364,0.79681403954825
0.295,0.990815512494046
0.133,0.705022280213745
